"date","shop_id","product_id","sales_cnt"
"2023-05-01",1,1,1
"2023-05-01",1,2,10
"2023-05-01",1,3,8
"2023-05-02",1,1,4
"2023-05-02",1,2,5
"2023-05-02",1,3,4
"2023-05-03",1,1,6
"2023-05-03",1,2,2
"2023-05-03",1,3,1
"2023-05-04",1,1,3
"2023-05-04",1,2,8
"2023-05-04",1,3,1
"2023-05-05",1,1,1
"2023-05-05",1,2,8
"2023-05-05",1,3,4
"2023-05-06",1,1,3
"2023-05-06",1,2,5
"2023-05-06",1,3,9
"2023-05-07",1,1,1
"2023-05-07",1,2,6
"2023-05-07",1,3,4
"2023-05-08",1,1,3
"2023-05-08",1,2,6
"2023-05-08",1,3,6
"2023-05-09",1,1,1
"2023-05-09",1,2,10
"2023-05-09",1,3,1
"2023-05-10",1,1,7
"2023-05-10",1,2,10
"2023-05-10",1,3,2
"2023-05-11",1,1,8
"2023-05-11",1,2,1
"2023-05-11",1,3,5
"2023-05-12",1,1,8
"2023-05-12",1,2,6
"2023-05-12",1,3,8
"2023-05-13",1,1,3
"2023-05-13",1,2,3
"2023-05-13",1,3,9
"2023-05-14",1,1,7
"2023-05-14",1,2,10
"2023-05-14",1,3,8
"2023-05-15",1,1,6
"2023-05-15",1,2,2
"2023-05-15",1,3,7
"2023-05-16",1,1,0
"2023-05-16",1,2,1
"2023-05-16",1,3,0
"2023-05-17",1,1,9
"2023-05-17",1,2,2
"2023-05-17",1,3,9
"2023-05-18",1,1,8
"2023-05-18",1,2,9
"2023-05-18",1,3,8
"2023-05-19",1,1,6
"2023-05-19",1,2,5
"2023-05-19",1,3,3
"2023-05-20",1,1,9
"2023-05-20",1,2,6
"2023-05-20",1,3,5
"2023-05-21",1,1,4
"2023-05-21",1,2,1
"2023-05-21",1,3,3
"2023-05-22",1,1,6
"2023-05-22",1,2,5
"2023-05-22",1,3,2
"2023-05-23",1,1,0
"2023-05-23",1,2,4
"2023-05-23",1,3,7
"2023-05-24",1,1,10
"2023-05-24",1,2,6
"2023-05-24",1,3,4
"2023-05-25",1,1,5
"2023-05-25",1,2,8
"2023-05-25",1,3,6
"2023-05-26",1,1,9
"2023-05-26",1,2,5
"2023-05-26",1,3,6
"2023-05-27",1,1,3
"2023-05-27",1,2,9
"2023-05-27",1,3,2
"2023-05-28",1,1,4
"2023-05-28",1,2,6
"2023-05-28",1,3,10
"2023-05-29",1,1,4
"2023-05-29",1,2,1
"2023-05-29",1,3,1
"2023-05-30",1,1,6
"2023-05-30",1,2,1
"2023-05-30",1,3,4
"2023-05-31",1,1,6
"2023-05-31",1,2,8
"2023-05-31",1,3,2
