"date","shop_id","product_id","sales_cnt"
"2023-05-01",2,1,9
"2023-05-01",2,2,8
"2023-05-01",2,3,4
"2023-05-02",2,1,0
"2023-05-02",2,2,4
"2023-05-02",2,3,1
"2023-05-03",2,1,2
"2023-05-03",2,2,7
"2023-05-03",2,3,2
"2023-05-04",2,1,1
"2023-05-04",2,2,7
"2023-05-04",2,3,0
"2023-05-05",2,1,2
"2023-05-05",2,2,2
"2023-05-05",2,3,9
"2023-05-06",2,1,8
"2023-05-06",2,2,3
"2023-05-06",2,3,3
"2023-05-07",2,1,9
"2023-05-07",2,2,9
"2023-05-07",2,3,9
"2023-05-08",2,1,0
"2023-05-08",2,2,9
"2023-05-08",2,3,4
"2023-05-09",2,1,1
"2023-05-09",2,2,9
"2023-05-09",2,3,3
"2023-05-10",2,1,2
"2023-05-10",2,2,5
"2023-05-10",2,3,7
"2023-05-11",2,1,3
"2023-05-11",2,2,6
"2023-05-11",2,3,7
"2023-05-12",2,1,1
"2023-05-12",2,2,7
"2023-05-12",2,3,9
"2023-05-13",2,1,7
"2023-05-13",2,2,1
"2023-05-13",2,3,6
"2023-05-14",2,1,4
"2023-05-14",2,2,2
"2023-05-14",2,3,7
"2023-05-15",2,1,5
"2023-05-15",2,2,9
"2023-05-15",2,3,5
"2023-05-16",2,1,5
"2023-05-16",2,2,5
"2023-05-16",2,3,10
"2023-05-17",2,1,2
"2023-05-17",2,2,3
"2023-05-17",2,3,5
"2023-05-18",2,1,0
"2023-05-18",2,2,4
"2023-05-18",2,3,9
"2023-05-19",2,1,10
"2023-05-19",2,2,4
"2023-05-19",2,3,7
"2023-05-20",2,1,3
"2023-05-20",2,2,4
"2023-05-20",2,3,3
"2023-05-21",2,1,5
"2023-05-21",2,2,10
"2023-05-21",2,3,2
"2023-05-22",2,1,6
"2023-05-22",2,2,5
"2023-05-22",2,3,7
"2023-05-23",2,1,7
"2023-05-23",2,2,7
"2023-05-23",2,3,2
"2023-05-24",2,1,7
"2023-05-24",2,2,5
"2023-05-24",2,3,4
"2023-05-25",2,1,0
"2023-05-25",2,2,6
"2023-05-25",2,3,7
"2023-05-26",2,1,2
"2023-05-26",2,2,9
"2023-05-26",2,3,1
"2023-05-27",2,1,1
"2023-05-27",2,2,2
"2023-05-27",2,3,2
"2023-05-28",2,1,6
"2023-05-28",2,2,9
"2023-05-28",2,3,4
"2023-05-29",2,1,7
"2023-05-29",2,2,5
"2023-05-29",2,3,5
"2023-05-30",2,1,7
"2023-05-30",2,2,5
"2023-05-30",2,3,6
"2023-05-31",2,1,7
"2023-05-31",2,2,8
"2023-05-31",2,3,9
